0- City,1- Total Population,2- Persons under 5 years old,3- Persons under 18 years old,4- Persons between 18-65 years old,5- Persons 65+ years old,6- Male,7- Female,8- Mean travel time to work ,9- Per capita income in past 12 months,10- Persons in poverty
New York City,8398748,0.07,0.21,0.65,0.14,0.48,0.52,41.20,37693,0.19
Des Moines,216853,0.07,0.25,0.64,0.12,0.49,0.51,19.00,27325,0.17
